# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : False
# Number of elec   : 34.0 
# Number of bands  : 64   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.5401 eV
# VBM: 0.9415 eV, band 17, k-point [0.5, 0.5, 0.5]
# CBM: 2.4816 eV, band 18, k-point [0.5, 0.5, 0.5]
# Functional: GGA, AEXX = 0.00, HFSCREEN = 0.00
# |----------------- Begin Gvecs and C_nk(Gvecs)-------------------------------|
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 13,	energy : -1.3594,	occupation : 1.0
	-3	5	3	  -0.00000046       -0.00000382
	-2	5	3	  -0.00139967       -0.00015219
	-1	5	3	  -0.00002570        0.00000274
	0	6	3	  -0.00096907       -0.00035408
	1	6	3	  -0.00019000       -0.00010428
	2	6	3	  -0.00064006       -0.00008376
	-2	6	3	  -0.00054236       -0.00035175
	-1	6	3	  -0.00012438       -0.00028428
	0	-6	3	   0.00098919        0.00037903
	1	-6	3	  -0.00018826       -0.00010363
	2	-6	3	   0.00055061        0.00036199
	-2	-6	3	   0.00064831        0.00009400
	-1	-6	3	  -0.00012265       -0.00028363
	0	-5	3	   0.00368267        0.00198837
	1	-5	3	   0.00004746        0.00002426
	2	-5	3	   0.00225952        0.00121904
	3	-5	3	  -0.00000209        0.00000065
	4	-5	3	   0.00052104        0.00028890
	-4	-5	3	   0.00052708        0.00027234
	-3	-5	3	  -0.00000046       -0.00000382
	-2	-5	3	   0.00225996        0.00121786
	-1	-5	3	   0.00004558        0.00002942
	0	-4	3	   0.00723814        0.00282823
	1	-4	3	  -0.00188319       -0.00100788
	2	-4	3	   0.00377487        0.00302012
	3	-4	3	  -0.00105571        0.00032738
	4	-4	3	   0.00076474        0.00105723
	5	-4	3	  -0.00018934        0.00016966
	-5	-4	3	   0.00001915       -0.00040223
	-4	-4	3	   0.00125935       -0.00029947
	-3	-4	3	  -0.00023375       -0.00192725
	-2	-4	3	   0.00477729        0.00027054
	-1	-4	3	  -0.00117018       -0.00296363
	0	-3	3	   0.01994145        0.01225300
	1	-3	3	   0.00027647        0.00016987
	2	-3	3	   0.01078961        0.00662967
	3	-3	3	  -0.00000000        0.00000000
	4	-3	3	   0.00232659        0.00142957
	5	-3	3	   0.00000461        0.00000283
	-5	-3	3	   0.00000461        0.00000283
	-4	-3	3	   0.00232659        0.00142957
	-3	-3	3	   0.00000000        0.00000000
	-2	-3	3	   0.01078961        0.00662967
	-1	-3	3	   0.00027647        0.00016987
	0	-2	3	   0.02120990        0.00835317
	1	-2	3	  -0.01101813       -0.00573158
	2	-2	3	   0.00791550        0.01094297
	3	-2	3	  -0.00489590        0.00151822
	4	-2	3	   0.00096735        0.00353586
	5	-2	3	  -0.00087618        0.00069339
	6	-2	3	   0.00005031        0.00046877
	-6	-2	3	   0.00034126       -0.00032932
	-5	-2	3	   0.00001809       -0.00175957
	-4	-2	3	   0.00303207       -0.00212760
	-3	-2	3	  -0.00108401       -0.00893765
	-2	-2	3	   0.01303504       -0.00309973
	-1	-2	3	  -0.00674714       -0.01744672
	0	-1	3	   0.04130483        0.03383642
	1	-1	3	   0.00033849        0.00046795
	2	-1	3	   0.01811727        0.01554595
	3	-1	3	  -0.00012545        0.00003890
	4	-1	3	   0.00306545        0.00264232
	5	-1	3	  -0.00002344        0.00000895
	6	-1	3	   0.00029038        0.00024480
	-6	-1	3	   0.00029080        0.00024364
	-5	-1	3	  -0.00000603       -0.00003883
	-4	-1	3	   0.00311709        0.00250065
