# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	6	-2	1	   0.00008057        0.00019804
	-6	-2	1	  -0.00021744       -0.00005190
	-5	-2	1	   0.00030845       -0.00013539
	-4	-2	1	  -0.00176807       -0.00023746
	-3	-2	1	   0.00279526       -0.00176180
	-2	-2	1	  -0.00819995        0.00200779
	-1	-2	1	   0.01406479       -0.01244404
	0	-1	1	   0.02086166       -0.02923893
	1	-1	1	   0.04420739       -0.12084063
	2	-1	1	  -0.00603652       -0.01899789
	3	-1	1	  -0.00396703       -0.02371320
	4	-1	1	  -0.00151117       -0.00274646
	5	-1	1	  -0.00108442       -0.00265808
	6	-1	1	  -0.00021076       -0.00030583
	-6	-1	1	   0.00030005        0.00019783
	-5	-1	1	   0.00279212        0.00116410
	-4	-1	1	   0.00263487        0.00134194
	-3	-1	1	   0.02524403        0.00508883
	-2	-1	1	   0.01753639        0.00424594
	-1	-1	1	   0.13234086       -0.03394434
	0	0	2	  -0.08564039        0.02197735
	1	0	2	  -0.00203650        0.01487670
	2	0	2	  -0.00899471        0.02532372
	3	0	2	   0.00247853        0.00503941
	4	0	2	   0.00123135        0.00508408
	5	0	2	   0.00053759        0.00083337
	6	0	2	   0.00024731        0.00054481
	-6	0	2	  -0.00073142       -0.00041944
	-5	0	2	  -0.00085769       -0.00053894
	-4	0	2	  -0.00743198       -0.00344419
	-3	0	2	  -0.00483000       -0.00212813
	-2	0	2	  -0.04581428       -0.01085950
	-1	0	2	  -0.01342331        0.00373284
	0	1	2	  -0.00812414       -0.01226180
	1	1	2	   0.00939427       -0.00250684
	2	1	2	  -0.00229506       -0.00316351
	3	1	2	   0.00023584       -0.00151261
	4	1	2	  -0.00007098       -0.00007440
	5	1	2	  -0.00011267       -0.00027043
	6	1	2	   0.00000798        0.00002761
	-6	1	2	  -0.00009728       -0.00011992
	-5	1	2	   0.00066236        0.00035414
	-4	1	2	  -0.00063502       -0.00100440
	-3	1	2	   0.00504637        0.00239644
	-2	1	2	  -0.00263887       -0.00502713
	-1	1	2	   0.02010530        0.00654908
	0	2	2	  -0.01824059       -0.01831977
	1	2	2	  -0.00063747        0.00382176
	2	2	2	  -0.00000210        0.00000363
	3	2	2	   0.00115839        0.00213907
	4	2	2	   0.00124740        0.00124392
	5	2	2	   0.00032535        0.00043156
	6	2	2	   0.00019286        0.00019021
	-6	2	2	  -0.00039257       -0.00038700
	-5	2	2	  -0.00050749       -0.00038959
	-4	2	2	  -0.00359158       -0.00352739
	-3	2	2	  -0.00232665       -0.00129740
	-2	2	2	  -0.01560602       -0.01538131
	-1	2	2	  -0.00414542        0.00036460
	0	3	2	   0.00014905       -0.00570987
	1	3	2	   0.00082341        0.00116941
	2	3	2	   0.00013837       -0.00249243
	3	3	2	  -0.00023341        0.00004418
	4	3	2	   0.00009631       -0.00034548
	5	3	2	  -0.00009604       -0.00003326
	6	3	2	   0.00001018       -0.00002074
	-6	3	2	  -0.00003060       -0.00007664
	-5	3	2	   0.00022453        0.00023012
	-4	3	2	  -0.00012865       -0.00069575
	-3	3	2	   0.00129110        0.00129997
	-2	3	2	  -0.00003529       -0.00300529
	-1	3	2	   0.00284496        0.00287402
	0	4	2	  -0.00093664       -0.00515716
	1	4	2	  -0.00001086        0.00007214
	2	4	2	   0.00061952       -0.00172188
	3	4	2	   0.00023278        0.00025300
	4	4	2	   0.00039505       -0.00010125
	5	4	2	   0.00007473        0.00006862
	-5	4	2	  -0.00011753       -0.00012142
	-4	4	2	  -0.00064847       -0.00113147
	-3	4	2	  -0.00043979       -0.00041356
	-2	4	2	  -0.00171058       -0.00402386
	-1	4	2	  -0.00052699       -0.00043926
	0	5	2	   0.00014306       -0.00100755
	1	5	2	   0.00000940        0.00028622
	2	5	2	   0.00011398       -0.00054648
	3	5	2	  -0.00007309        0.00007127
	4	5	2	   0.00003808       -0.00009860
	-4	5	2	  -0.00002019       -0.00017275
	-3	5	2	   0.00014148        0.00025083
	-2	5	2	   0.00004246       -0.00065495
	-1	5	2	   0.00021500        0.00045995
	0	6	2	   0.00000321       -0.00060886
	1	6	2	  -0.00000175       -0.00003193
