# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	-1	-3	-3	  -0.00241675       -0.00236801
	0	-2	-3	   0.00445798        0.00066102
	1	-2	-3	  -0.00186429       -0.00415344
	2	-2	-3	   0.00297523        0.00095756
	3	-2	-3	  -0.00072766       -0.00141066
	4	-2	-3	   0.00080496        0.00039798
	5	-2	-3	  -0.00012325       -0.00020548
	6	-2	-3	   0.00009378        0.00006132
	-6	-2	-3	  -0.00001602       -0.00003130
	-5	-2	-3	  -0.00003468       -0.00006547
	-4	-2	-3	   0.00001503       -0.00025267
	-3	-2	-3	  -0.00029142       -0.00073335
	-2	-2	-3	   0.00129757       -0.00035462
	-1	-2	-3	  -0.00111711       -0.00312590
	0	-1	-3	  -0.00291795        0.00270250
	1	-1	-3	  -0.02457534       -0.00686107
	2	-1	-3	  -0.00389495       -0.00086160
	3	-1	-3	  -0.00873026       -0.00410887
	4	-1	-3	  -0.00110086       -0.00050175
	5	-1	-3	  -0.00131427       -0.00075036
	6	-1	-3	  -0.00013872       -0.00008422
	-6	-1	-3	   0.00006859        0.00012004
	-5	-1	-3	   0.00012272        0.00066728
	-4	-1	-3	   0.00032916        0.00091051
	-3	-1	-3	  -0.00121778        0.00330247
	-2	-1	-3	   0.00032097        0.00331213
	-1	-1	-3	  -0.01398572        0.00359057
	0	0	-2	   0.08564202       -0.02197774
	1	0	-2	   0.01342351       -0.00373297
	2	0	-2	   0.04581444        0.01085903
	3	0	-2	   0.00482990        0.00212799
	4	0	-2	   0.00743159        0.00344374
	5	0	-2	   0.00085749        0.00053877
	6	0	-2	   0.00073098        0.00041908
	-6	0	-2	  -0.00024766       -0.00054526
	-5	0	-2	  -0.00053776       -0.00083358
	-4	0	-2	  -0.00123169       -0.00508462
	-3	0	-2	  -0.00247864       -0.00503961
	-2	0	-2	   0.00899495       -0.02532437
	-1	0	-2	   0.00203668       -0.01487688
	0	1	-2	   0.01386370       -0.00326214
	1	1	-2	  -0.02600875        0.00657837
	2	1	-2	   0.00439665        0.00021843
	3	1	-2	  -0.00616203        0.00007517
	4	1	-2	   0.00089268        0.00029372
	5	1	-2	  -0.00077563       -0.00010227
	6	1	-2	   0.00012366        0.00004674
	-6	1	-2	   0.00001850       -0.00010077
	-5	1	-2	  -0.00000050        0.00052241
	-4	1	-2	   0.00032894       -0.00063587
	-3	1	-2	  -0.00135080        0.00398542
	-2	1	-2	   0.00405495       -0.00164411
	-1	1	-2	  -0.01529415        0.01563350
	0	2	-2	   0.03674661       -0.03203139
	1	2	-2	   0.00378092       -0.00241133
	2	2	-2	   0.02343081       -0.00600981
	3	2	-2	   0.00229394        0.00070548
	4	2	-2	   0.00475840        0.00032785
	5	2	-2	   0.00052990        0.00025217
	6	2	-2	   0.00049234        0.00011338
	-6	2	-2	  -0.00009310       -0.00046385
	-5	2	-2	  -0.00030292       -0.00056899
	-4	2	-2	  -0.00008078       -0.00444323
	-3	2	-2	  -0.00119137       -0.00273066
	-2	2	-2	   0.00782692       -0.02139484
	-1	2	-2	   0.00027431       -0.00587039
	0	3	-2	   0.00352939       -0.00426933
	1	3	-2	  -0.00555034        0.00285912
	2	3	-2	   0.00178315       -0.00177232
	3	3	-2	  -0.00214215        0.00053401
	4	3	-2	   0.00046477       -0.00022997
	5	3	-2	  -0.00034337        0.00003095
	6	3	-2	   0.00006464       -0.00001683
	-6	3	-2	   0.00002389       -0.00007270
	-5	3	-2	  -0.00002275        0.00029434
	-4	3	-2	   0.00023974       -0.00058008
	-3	3	-2	  -0.00061792        0.00178988
	-2	3	-2	   0.00160907       -0.00228538
	-1	3	-2	  -0.00352872        0.00456238
	0	4	-2	   0.00528554       -0.00670471
	1	4	-2	   0.00067843       -0.00072017
	2	4	-2	   0.00413724       -0.00260953
	3	4	-2	   0.00050758       -0.00002760
	4	4	-2	   0.00117129       -0.00030045
	5	4	-2	   0.00014086        0.00002427
	-5	4	-2	  -0.00005142       -0.00016581
	-4	4	-2	   0.00012764       -0.00133065
	-3	4	-2	  -0.00016513       -0.00069426
	-2	4	-2	   0.00180681       -0.00491169
	-1	4	-2	   0.00016235       -0.00123207
	0	5	-2	   0.00055770       -0.00090145
	1	5	-2	  -0.00065268        0.00045809
	2	5	-2	   0.00037511       -0.00048660
	3	5	-2	  -0.00032075        0.00013409
	4	5	-2	   0.00011641       -0.00009131
	-4	5	-2	   0.00005815       -0.00016544
	-3	5	-2	  -0.00010613        0.00031362
	-2	5	-2	   0.00030359       -0.00059508
	-1	5	-2	  -0.00044702        0.00063168
	0	6	-2	   0.00048760       -0.00073156
	1	6	-2	   0.00009217       -0.00010485
	2	6	-2	   0.00039618       -0.00034124
	3	6	-2	   0.00006473       -0.00001733
	-3	6	-2	  -0.00000334       -0.00008456
	-2	6	-2	   0.00019672       -0.00053788
	-1	6	-2	   0.00003910       -0.00015749
	0	-6	-2	  -0.00000334        0.00060944
	1	-6	-2	   0.00005483        0.00008465
	2	-6	-2	   0.00010260        0.00046133
	3	-6	-2	   0.00004981        0.00005477
	-3	-6	-2	  -0.00001825       -0.00001243
	-2	-6	-2	  -0.00009680        0.00026471
	-1	-6	-2	   0.00000175        0.00003205
	0	-5	-2	  -0.00014313        0.00100782
	1	-5	-2	  -0.00021495       -0.00046011
	2	-5	-2	  -0.00004251        0.00065512
	3	-5	-2	  -0.00014145       -0.00025089
	4	-5	-2	   0.00002017        0.00017279
	-4	-5	-2	  -0.00003810        0.00009863
	-3	-5	-2	   0.00007314       -0.00007132
	-2	-5	-2	  -0.00011403        0.00054665
	-1	-5	-2	  -0.00000934       -0.00028637
	0	-4	-2	   0.00093655        0.00515781
	1	-4	-2	   0.00052702        0.00043934
	2	-4	-2	   0.00171049        0.00402423
	3	-4	-2	   0.00043978        0.00041358
	4	-4	-2	   0.00064836        0.00113151
	5	-4	-2	   0.00011750        0.00012140
	-5	-4	-2	  -0.00007476       -0.00006865
	-4	-4	-2	  -0.00039515        0.00010128
	-3	-4	-2	  -0.00023280       -0.00025299
	-2	-4	-2	  -0.00061963        0.00172224
	-1	-4	-2	   0.00001088       -0.00007207
	0	-3	-2	  -0.00014906        0.00571011
	1	-3	-2	  -0.00284497       -0.00287418
	2	-3	-2	   0.00003527        0.00300539
	3	-3	-2	  -0.00129106       -0.00129999
	4	-3	-2	   0.00012862        0.00069575
	5	-3	-2	  -0.00022447       -0.00023009
	6	-3	-2	   0.00003055        0.00007660
	-6	-3	-2	  -0.00001021        0.00002070
	-5	-3	-2	   0.00009610        0.00003329
	-4	-3	-2	  -0.00009633        0.00034549
	-3	-3	-2	   0.00023346       -0.00004420
	-2	-3	-2	  -0.00013839        0.00249255
	-1	-3	-2	  -0.00082341       -0.00116956
	0	-2	-2	   0.01824107        0.01832024
	1	-2	-2	   0.00414552       -0.00036458
	2	-2	-2	   0.01560609        0.01538137
	3	-2	-2	   0.00232660        0.00129734
	4	-2	-2	   0.00359134        0.00352717
	5	-2	-2	   0.00050737        0.00038948
	6	-2	-2	   0.00039231        0.00038679
	-6	-2	-2	  -0.00019309       -0.00019047
	-5	-2	-2	  -0.00032546       -0.00043168
	-4	-2	-2	  -0.00124765       -0.00124419
	-3	-2	-2	  -0.00115846       -0.00213917
	-2	-2	-2	   0.00000210       -0.00000363
	-1	-2	-2	   0.00063754       -0.00382177
	0	-1	-2	   0.00812439        0.01226188
	1	-1	-2	  -0.02010554       -0.00654906
	2	-1	-2	   0.00263894        0.00502708
	3	-1	-2	  -0.00504630       -0.00239633
	4	-1	-2	   0.00063499        0.00100433
	5	-1	-2	  -0.00066223       -0.00035402
	6	-1	-2	   0.00009717        0.00011982
	-6	-1	-2	  -0.00000803       -0.00002772
	-5	-1	-2	   0.00011278        0.00027054
	-4	-1	-2	   0.00007096        0.00007434
	-3	-1	-2	  -0.00023578        0.00151274
	-2	-1	-2	   0.00229514        0.00316349
	-1	-1	-2	  -0.00939451        0.00250690
	0	0	-1	   0.05949821       -0.01526861
	1	0	-1	  -0.03061981       -0.01558931
	2	0	-1	   0.01943443        0.00641846
	3	0	-1	  -0.00284994       -0.00193491
	4	0	-1	   0.00284481        0.00153173
	5	0	-1	  -0.00025943       -0.00022383
	6	0	-1	   0.00030986        0.00019045
	7	0	-1	  -0.00002583       -0.00002707
	-7	0	-1	   0.00000910        0.00002428
	-6	0	-1	  -0.00018494       -0.00022531
	-5	0	-1	  -0.00011906        0.00015337
	-4	0	-1	  -0.00138117       -0.00193520
	-3	0	-1	  -0.00190319        0.00089239
	-2	0	-1	  -0.00267158       -0.01099860
	-1	0	-1	  -0.01758190        0.00433126
	0	1	-1	  -0.02086185        0.02923877
	1	1	-1	  -0.13234065        0.03394429
	2	1	-1	  -0.01753623       -0.00424581
	3	1	-1	  -0.02524334       -0.00508827
	4	1	-1	  -0.00263464       -0.00134174
	5	1	-1	  -0.00279153       -0.00116358
	6	1	-1	  -0.00029990       -0.00019771
	-6	1	-1	   0.00021089        0.00030597
	-5	1	-1	   0.00108496        0.00265868
	-4	1	-1	   0.00151140        0.00274668
	-3	1	-1	   0.00396758        0.02371388
	-2	1	-1	   0.00603668        0.01899806
	-1	1	-1	  -0.04420748        0.12084080
	0	2	-1	   0.01475529       -0.01491495
	1	2	-1	  -0.01406469        0.01244385
	2	2	-1	   0.00819977       -0.00200774
	3	2	-1	  -0.00279517        0.00176181
	4	2	-1	   0.00176791        0.00023739
	5	2	-1	  -0.00030839        0.00013543
	6	2	-1	   0.00021726        0.00005179
	-6	2	-1	  -0.00008071       -0.00019821
	-5	2	-1	  -0.00014796        0.00043340
	-4	2	-1	  -0.00044198       -0.00156711
	-3	2	-1	  -0.00165560        0.00372080
	-2	2	-1	   0.00114147       -0.00743978
	-1	2	-1	  -0.00998659        0.01797218
	0	3	-1	  -0.00177699        0.00324018
	1	3	-1	  -0.02060344        0.01684519
	2	3	-1	  -0.00321457       -0.00016964
	3	3	-1	  -0.00767625        0.00196817
	4	3	-1	  -0.00094740       -0.00029731
	5	3	-1	  -0.00117992       -0.00003384
	6	3	-1	  -0.00012313       -0.00006535
	-6	3	-1	   0.00008363        0.00013868
	-5	3	-1	   0.00026044        0.00138565
	-4	3	-1	   0.00049261        0.00112065
	-3	3	-1	  -0.00014629        0.00938930
	-2	3	-1	   0.00107144        0.00404164
	-1	3	-1	  -0.00997278        0.02731783
	0	4	-1	   0.00192052       -0.00271016
	1	4	-1	  -0.00182842        0.00249461
	2	4	-1	   0.00149081       -0.00103823
	3	4	-1	  -0.00072729        0.00073489
	4	4	-1	   0.00046985       -0.00011572
	5	4	-1	  -0.00011340        0.00008548
	-5	4	-1	  -0.00004466        0.00018427
	-4	4	-1	  -0.00001497       -0.00051731
	-3	4	-1	  -0.00040207        0.00118908
	-2	4	-1	   0.00053471       -0.00179632
	-1	4	-1	  -0.00141726        0.00303561
	0	5	-1	  -0.00014513        0.00034251
	1	5	-1	  -0.00203733        0.00240180
	2	5	-1	  -0.00033235        0.00003755
	3	5	-1	  -0.00104492        0.00060426
	4	5	-1	  -0.00013633       -0.00001949
	-4	5	-1	   0.00006437        0.00017894
	-3	5	-1	  -0.00014655        0.00148980
	-2	5	-1	   0.00010991        0.00047320
	-1	5	-1	  -0.00118442        0.00324208
	0	6	-1	   0.00019980       -0.00031665
	1	6	-1	  -0.00018994        0.00032391
	2	6	-1	   0.00017378       -0.00014842
	3	6	-1	  -0.00008395        0.00011914
	-3	6	-1	  -0.00005295        0.00016088
	-2	6	-1	   0.00007179       -0.00023432
	-1	6	-1	  -0.00015612        0.00036694
	0	7	-1	  -0.00001258        0.00003797
	0	-7	-1	  -0.00000100       -0.00002740
	0	-6	-1	  -0.00007365        0.00028707
	1	-6	-1	   0.00006618       -0.00037637
	2	-6	-1	   0.00000897        0.00021476
	3	-6	-1	   0.00001967       -0.00016446
	-3	-6	-1	   0.00005074       -0.00012272
	-2	-6	-1	  -0.00009296        0.00012881
	-1	-6	-1	   0.00010005       -0.00033332
	0	-5	-1	  -0.00015864       -0.00009697
	1	-5	-1	  -0.00009348       -0.00291256
	2	-5	-1	  -0.00030102       -0.00032698
	3	-5	-1	  -0.00032241       -0.00136961
	4	-5	-1	  -0.00011275       -0.00014580
	-4	-5	-1	   0.00008807        0.00005258
	-3	-5	-1	   0.00057613       -0.00048410
	-2	-5	-1	   0.00014153        0.00010864
	-1	-5	-1	   0.00075957       -0.00207221
	0	-4	-1	  -0.00044446        0.00235923
	1	-4	-1	   0.00025041       -0.00318963
	2	-4	-1	   0.00025107        0.00160401
	3	-4	-1	  -0.00000455       -0.00123723
	4	-4	-1	   0.00019987        0.00046986
	5	-4	-1	  -0.00001296       -0.00019021
	-5	-4	-1	   0.00005591       -0.00009143
	-4	-4	-1	  -0.00028460        0.00006819
	-3	-4	-1	   0.00032136       -0.00078311
	-2	-4	-1	  -0.00070413        0.00084585
	-1	-4	-1	   0.00066225       -0.00264830
	0	-3	-1	  -0.00196756       -0.00001696
	1	-3	-1	  -0.00595578       -0.02320057
	2	-3	-1	  -0.00293673       -0.00259593
	3	-3	-1	  -0.00389920       -0.00835114
	4	-3	-1	  -0.00083125       -0.00088126
	5	-3	-1	  -0.00072934       -0.00126517
	6	-3	-1	  -0.00011151       -0.00011940
	-6	-3	-1	   0.00009530        0.00008458
	-5	-3	-1	   0.00071118        0.00015428
	-4	-3	-1	   0.00060942        0.00053644
	-3	-3	-1	   0.00363214       -0.00093034
	-2	-3	-1	   0.00135190        0.00161526
	-1	-3	-1	   0.00467637       -0.01272727
	0	-2	-1	   0.00213167        0.01085975
	1	-2	-1	  -0.00224450       -0.01987344
	2	-2	-1	   0.00412367        0.00608859
	3	-2	-1	  -0.00064083       -0.00409857
	4	-2	-1	   0.00122360        0.00135717
	5	-2	-1	  -0.00008648       -0.00047042
	6	-2	-1	   0.00016096        0.00017645
	-6	-2	-1	  -0.00013694       -0.00007353
	-5	-2	-1	   0.00007423       -0.00017256
	-4	-2	-1	  -0.00098547       -0.00044767
	-3	-2	-1	   0.00050111       -0.00214066
	-2	-2	-1	  -0.00293121        0.00065575
	-1	-2	-1	   0.00183578       -0.01434405
	0	-1	-1	  -0.01680623        0.00405549
	1	-1	-1	  -0.08814526       -0.08687598
	2	-1	-1	  -0.01602077       -0.01139590
	3	-1	-1	  -0.01990934       -0.01965248
	4	-1	-1	  -0.00247609       -0.00204568
	5	-1	-1	  -0.00236360       -0.00233213
	6	-1	-1	  -0.00028634       -0.00025409
	-6	-1	-1	   0.00022448        0.00024954
	-5	-1	-1	   0.00151299        0.00148999
	-4	-1	-1	   0.00167038        0.00204215
	-3	-1	-1	   0.00930256        0.00914842
	-2	-1	-1	   0.00755357        0.01184606
	-1	-1	-1	  -0.00001187        0.00002048

n_band : 35,	energy : 4.4743,	occupation : 0.0
	0	0	0	  -0.21154214        0.52027905
	1	0	0	   0.04956586       -0.12190439
	2	0	0	   0.05251497       -0.12915783
	3	0	0	   0.00312287       -0.00768053
	4	0	0	   0.00241604       -0.00594209
	5	0	0	   0.00089554       -0.00220254
	6	0	0	  -0.00007944        0.00019540
	7	0	0	   0.00013520       -0.00033252
	-7	0	0	   0.00013552       -0.00033330
	-6	0	0	  -0.00008013        0.00019709
	-5	0	0	   0.00089592       -0.00220345
	-4	0	0	   0.00241557       -0.00594101
	-3	0	0	   0.00312318       -0.00768119
	-2	0	0	   0.05251395       -0.12915610
	-1	0	0	   0.04956472       -0.12190191
	0	1	0	   0.04956526       -0.12190511
	1	1	0	   0.02995173       -0.07366467
	2	1	0	  -0.00536977        0.01329612
	3	1	0	   0.00308625       -0.00759657
	4	1	0	   0.00006800       -0.00014662
	5	1	0	  -0.00016194        0.00039781
	6	1	0	   0.00011649       -0.00028347
	7	1	0	  -0.00002010        0.00004941
	-7	1	0	  -0.00002016        0.00004960
	-6	1	0	   0.00011449       -0.00028458
	-5	1	0	  -0.00016171        0.00039819
	-4	1	0	   0.00005367       -0.00015254
	-3	1	0	   0.00309048       -0.00759477
	-2	1	0	  -0.00543221        0.01327130
	-1	1	0	   0.02995164       -0.07366463
	0	2	0	   0.05251462       -0.12915787
	1	2	0	  -0.00543208        0.01327065
	2	2	0	   0.01646369       -0.04049173
	3	2	0	   0.00089969       -0.00227309
	4	2	0	   0.00073490       -0.00180795
	5	2	0	   0.00056818       -0.00141021
	6	2	0	  -0.00007404        0.00018203
	-6	2	0	  -0.00007451        0.00018329
	-5	2	0	   0.00057734       -0.00140714
	-4	2	0	   0.00073499       -0.00180718
	-3	2	0	   0.00094192       -0.00225635
	-2	2	0	   0.01646348       -0.04049141
	-1	2	0	  -0.00537019        0.01329573
	0	3	0	   0.00312283       -0.00768059
	1	3	0	   0.00309052       -0.00759482
	2	3	0	   0.00094180       -0.00225598
	3	3	0	   0.00003549       -0.00008726
	4	3	0	   0.00041246       -0.00099082
	5	3	0	  -0.00011914        0.00029291
	6	3	0	   0.00007203       -0.00017332
	-6	3	0	   0.00006942       -0.00017454
	-5	3	0	  -0.00011910        0.00029304
	-4	3	0	   0.00039601       -0.00099756
	-3	3	0	   0.00003549       -0.00008726
	-2	3	0	   0.00089968       -0.00227307
	-1	3	0	   0.00308625       -0.00759658
	0	4	0	   0.00241600       -0.00594210
	1	4	0	   0.00005362       -0.00015249
	2	4	0	   0.00073525       -0.00180781
	3	4	0	   0.00039599       -0.00099752
	4	4	0	  -0.00009994        0.00024580
	5	4	0	   0.00017682       -0.00044169
	-5	4	0	   0.00018163       -0.00043991
	-4	4	0	  -0.00010001        0.00024595
	-3	4	0	   0.00041247       -0.00099089
	-2	4	0	   0.00073489       -0.00180798
	-1	4	0	   0.00006796       -0.00014668
	0	5	0	   0.00089554       -0.00220255
	1	5	0	  -0.00016160        0.00039794
	2	5	0	   0.00057711       -0.00140658
	3	5	0	  -0.00011906        0.00029294
	4	5	0	   0.00018157       -0.00043976
	5	5	0	  -0.00001861        0.00004577
	-5	5	0	  -0.00001861        0.00004578
	-4	5	0	   0.00017682       -0.00044171
	-3	5	0	  -0.00011914        0.00029291
	-2	5	0	   0.00056818       -0.00141022
	-1	5	0	  -0.00016194        0.00039781
	0	6	0	  -0.00007945        0.00019540
	1	6	0	   0.00011438       -0.00028433
	2	6	0	  -0.00007399        0.00018205
	3	6	0	   0.00006936       -0.00017440
	-3	6	0	   0.00007203       -0.00017332
	-2	6	0	  -0.00007404        0.00018201
	-1	6	0	   0.00011649       -0.00028348
	0	7	0	   0.00013520       -0.00033252
	1	7	0	  -0.00002008        0.00004942
	-1	7	0	  -0.00002010        0.00004941
	0	-7	0	   0.00013552       -0.00033330
	1	-7	0	  -0.00002017        0.00004960
	-1	-7	0	  -0.00002016        0.00004960
	0	-6	0	  -0.00008014        0.00019709
	1	-6	0	   0.00011659       -0.00028373
	2	-6	0	  -0.00007454        0.00018328
	3	-6	0	   0.00007208       -0.00017346
	-3	-6	0	   0.00006942       -0.00017454
	-2	-6	0	  -0.00007450        0.00018328
	-1	-6	0	   0.00011449       -0.00028459
	0	-5	0	   0.00089590       -0.00220346
	1	-5	0	  -0.00016204        0.00039805
	2	-5	0	   0.00056840       -0.00141077
	3	-5	0	  -0.00011918        0.00029300
	4	-5	0	   0.00017689       -0.00044184
	5	-5	0	  -0.00001861        0.00004578
	-5	-5	0	  -0.00001862        0.00004579
	-4	-5	0	   0.00018163       -0.00043992
	-3	-5	0	  -0.00011910        0.00029303
	-2	-5	0	   0.00057733       -0.00140715
	-1	-5	0	  -0.00016171        0.00039819
	0	-4	0	   0.00241558       -0.00594099
	1	-4	0	   0.00006802       -0.00014674
	2	-4	0	   0.00073464       -0.00180732
	3	-4	0	   0.00041247       -0.00099087
	4	-4	0	  -0.00010000        0.00024596
	5	-4	0	   0.00018158       -0.00043977
	-5	-4	0	   0.00017689       -0.00044185
	-4	-4	0	  -0.00010007        0.00024611
	-3	-4	0	   0.00039605       -0.00099762
	-2	-4	0	   0.00073500       -0.00180720
	-1	-4	0	   0.00005370       -0.00015257
	0	-3	0	   0.00312308       -0.00768129
	1	-3	0	   0.00308625       -0.00759651
	2	-3	0	   0.00089985       -0.00227346
	3	-3	0	   0.00003549       -0.00008727
	4	-3	0	   0.00039603       -0.00099758
	5	-3	0	  -0.00011906        0.00029295
	6	-3	0	   0.00006936       -0.00017441
	-6	-3	0	   0.00007208       -0.00017346
	-5	-3	0	  -0.00011918        0.00029300
	-4	-3	0	   0.00041248       -0.00099093
	-3	-3	0	   0.00003549       -0.00008726
	-2	-3	0	   0.00094186       -0.00225633
	-1	-3	0	   0.00309050       -0.00759477
	0	-2	0	   0.05251412       -0.12915593
	1	-2	0	  -0.00537005        0.01329639
	2	-2	0	   0.01646362       -0.04049135
	3	-2	0	   0.00094178       -0.00225595
	4	-2	0	   0.00073528       -0.00180783
	5	-2	0	   0.00057711       -0.00140658
	6	-2	0	  -0.00007398        0.00018203
	-6	-2	0	  -0.00007453        0.00018327
	-5	-2	0	   0.00056842       -0.00141077
	-4	-2	0	   0.00073465       -0.00180734
	-3	-2	0	   0.00089989       -0.00227339
	-2	-2	0	   0.01646341       -0.04049104
	-1	-2	0	  -0.00543185        0.01327120
	0	-1	0	   0.04956432       -0.12190257
	1	-1	0	   0.02995196       -0.07366459
	2	-1	0	  -0.00543163        0.01327088
	3	-1	0	   0.00309054       -0.00759485
	4	-1	0	   0.00005367       -0.00015247
	5	-1	0	  -0.00016161        0.00039794
	6	-1	0	   0.00011438       -0.00028433
	7	-1	0	  -0.00002008        0.00004942
	-7	-1	0	  -0.00002017        0.00004960
	-6	-1	0	   0.00011659       -0.00028373
	-5	-1	0	  -0.00016204        0.00039806
	-4	-1	0	   0.00006800       -0.00014673
	-3	-1	0	   0.00308622       -0.00759651
	-2	-1	0	  -0.00537032        0.01329640
	-1	-1	0	   0.02995154       -0.07366419
	0	0	1	   0.04956618       -0.12190528
	1	0	1	   0.02995121       -0.07366457
	2	0	1	  -0.00541681        0.01329021
	3	0	1	   0.00308942       -0.00759615
	4	0	1	   0.00005712       -0.00014798
	5	0	1	  -0.00016169        0.00039784
	6	0	1	   0.00011489       -0.00028367
	7	0	1	  -0.00002009        0.00004941
	-7	0	1	  -0.00002017        0.00004960
	-6	0	1	   0.00011607       -0.00028439
	-5	0	1	  -0.00016196        0.00039816
	-4	0	1	   0.00006450       -0.00015119
	-3	0	1	   0.00308722       -0.00759518
	-2	0	1	  -0.00538537        0.01327719
	-1	0	1	   0.02995131       -0.07366472
	0	1	1	   0.02995157       -0.07366417
	1	1	1	  -0.05998157        0.14752230
	2	1	1	   0.00247054       -0.00603224
	3	1	1	  -0.00724463        0.01781550
	4	1	1	  -0.00117539        0.00290211
	5	1	1	  -0.00003129        0.00007670
	6	1	1	  -0.00030608        0.00075451
	-6	1	1	  -0.00030735        0.00075418
	-5	1	1	  -0.00003070        0.00007576
	-4	1	1	  -0.00118169        0.00289500
	-3	1	1	  -0.00724315        0.01781653
	-2	1	1	   0.00244677       -0.00606177
	-1	1	1	  -0.05998166        0.14752199
	0	2	1	  -0.00539441        0.01329930
	1	2	1	   0.00243986       -0.00604469
	2	2	1	  -0.00295256        0.00726166
	3	2	1	  -0.00005126        0.00008085
	4	2	1	   0.00013128       -0.00032543
	5	2	1	  -0.00022727        0.00054843
	6	2	1	   0.00006909       -0.00017045
	-6	2	1	   0.00006990       -0.00017090
	-5	2	1	  -0.00021946        0.00055188
	-4	2	1	   0.00013592       -0.00032723
	-3	2	1	  -0.00001584        0.00009585
	-2	2	1	  -0.00293937        0.00725614
	-1	2	1	   0.00248805       -0.00602513
	0	3	1	   0.00308790       -0.00759672
	1	3	1	  -0.00724299        0.01781615
	2	3	1	  -0.00001971        0.00009370
	3	3	1	  -0.00101303        0.00249150
	4	3	1	  -0.00060260        0.00150052
	5	3	1	   0.00006770       -0.00016660
	6	3	1	  -0.00014237        0.00035319
	-6	3	1	  -0.00014451        0.00035239
	-5	3	1	   0.00006797       -0.00016709
	-4	3	1	  -0.00061490        0.00149376
	-3	3	1	  -0.00101317        0.00249145
	-2	3	1	  -0.00005013        0.00007667
	-1	3	1	  -0.00724555        0.01781514
	0	4	1	   0.00006234       -0.00014586
	1	4	1	  -0.00118327        0.00289892
	2	4	1	   0.00013305       -0.00032470
	3	4	1	  -0.00061548        0.00149528
	4	4	1	   0.00010594       -0.00026056
	5	4	1	  -0.00013149        0.00031777
	-5	4	1	  -0.00012729        0.00031955
	-4	4	1	   0.00010706       -0.00026105
	-3	4	1	  -0.00060089        0.00150127
	-2	4	1	   0.00013503       -0.00032575
	-1	4	1	  -0.00117087        0.00290396
	0	5	1	  -0.00016181        0.00039780
	1	5	1	  -0.00003111        0.00007677
	2	5	1	  -0.00021992        0.00055143
	3	5	1	   0.00006777       -0.00016657
	4	5	1	  -0.00012757        0.00031937
	-4	5	1	  -0.00013139        0.00031750
	-3	5	1	   0.00006767       -0.00016661
	-2	5	1	  -0.00022711        0.00054786
	-1	5	1	  -0.00003138        0.00007668
	0	6	1	   0.00011566       -0.00028336
	1	6	1	  -0.00030728        0.00075402
	2	6	1	   0.00006946       -0.00017030
	3	6	1	  -0.00014449        0.00035233
	-3	6	1	  -0.00014209        0.00035331
	-2	6	1	   0.00006965       -0.00017042
	-1	6	1	  -0.00030538        0.00075480
	0	7	1	  -0.00002009        0.00004941
	0	-7	1	  -0.00002017        0.00004960
	0	-6	1	   0.00011531       -0.00028469
	1	-6	1	  -0.00030614        0.00075468
	2	-6	1	   0.00006919       -0.00017118
	3	-6	1	  -0.00014240        0.00035326
	-3	-6	1	  -0.00014480        0.00035228
	-2	-6	1	   0.00006948       -0.00017127
	-1	-6	1	  -0.00030804        0.00075391
	0	-5	1	  -0.00016184        0.00039821
	1	-5	1	  -0.00003088        0.00007569
	2	-5	1	  -0.00022792        0.00054844
	3	-5	1	   0.00006792       -0.00016711
	4	-5	1	  -0.00013182        0.00031771
	-4	-5	1	  -0.00012717        0.00031928
	-3	-5	1	   0.00006800       -0.00016707
	-2	-5	1	  -0.00021917        0.00055134
	-1	-5	1	  -0.00003061        0.00007582
	0	-4	1	   0.00005929       -0.00015329
	1	-4	1	  -0.00117379        0.00289822
	2	-4	1	   0.00013098       -0.00032923
	3	-4	1	  -0.00060194        0.00149903
	4	-4	1	   0.00010548       -0.00026169
	5	-4	1	  -0.00012745        0.00031910
	-5	-4	1	  -0.00013171        0.00031743
	-4	-4	1	   0.00010660       -0.00026217
	-3	-4	1	  -0.00061663        0.00149310
	-2	-4	1	   0.00013346       -0.00033007
	-1	-4	1	  -0.00118617        0.00289318
	0	-3	1	   0.00308877       -0.00759447
	1	-3	1	  -0.00724475        0.01781586
	2	-3	1	  -0.00005554        0.00007973
	3	-3	1	  -0.00101290        0.00249156
	4	-3	1	  -0.00061722        0.00149464
	5	-3	1	   0.00006779       -0.00016656
	6	-3	1	  -0.00014478        0.00035222
	-6	-3	1	  -0.00014212        0.00035337
	-5	-3	1	   0.00006788       -0.00016712
	-4	-3	1	  -0.00060025        0.00149977
	-3	-3	1	  -0.00101304        0.00249152
	-2	-3	1	  -0.00001373        0.00009206
	-1	-3	1	  -0.00724220        0.01781692
	0	-2	1	  -0.00540786        0.01326806
	1	-2	1	   0.00247752       -0.00604922
	2	-2	1	  -0.00295817        0.00724851
	3	-2	1	  -0.00001759        0.00008989
